"parameter","species","mean","lower","upper","prob_pos","prob_neg"
"jday2","EUST",-0.0153475145217151,-0.137023907957699,0.085557814907543,0.442,0.558
"jday2","EVGR",-0.0316660600191207,-0.156259848108232,0.0634678155453858,0.3435,0.6565
"jday2","FOSP",-0.003594846518685,-0.101783138808785,0.0875513165733901,0.485,0.515
"jday2","GCKI",-0.0170806279056305,-0.130891892444283,0.0873290787837081,0.422,0.578
"jday2","GRFL",-0.022212913451086,-0.137537211339459,0.0944584033767453,0.397,0.603
"jday2","GTTO",-0.00697972925237381,-0.107895804103671,0.0885059133889469,0.4685,0.5315
"jday2","HAFL",0.000147914144381799,-0.099653540082238,0.10315286629188,0.51,0.49
"jday2","HAWO",0.0364654467363542,-0.0501550376998348,0.125000134896627,0.756,0.244
"jday2","HETH",-0.0026196450144452,-0.127865345548308,0.102094169477418,0.4995,0.5005
"jday2","HEWA",0.0299115056927273,-0.0669941581446878,0.146575300175055,0.672,0.328
"jday2","HOFI",-0.00838861494075056,-0.127850766202955,0.11047005755241,0.464,0.536
"jday2","HOWR",-0.0461075924239942,-0.14484702704105,0.0453562074006618,0.23,0.77
"jday2","HUVI",-0.0173468891103874,-0.141199109521816,0.0799562077609445,0.4145,0.5855
"jday2","LAGO",0.0170292871891514,-0.0936958654547983,0.13675988321419,0.5825,0.4175
"jday2","LASP",-0.010349434581378,-0.12104020697291,0.100207475068597,0.444,0.556
"jday2","LAZB",0.0303142703047909,-0.0556709291449697,0.134903941384899,0.704,0.296
"jday2","LEGO",-0.00440118778727871,-0.121379481256919,0.104772567659501,0.4875,0.5125
"jday2","LEWO",-0.00930911551890789,-0.12567506082928,0.105776696649749,0.4685,0.5315
"jday2","LISP",0.0231186870552837,-0.0929967186617022,0.140821221988836,0.6235,0.3765
"jday2","MGWA",-0.00534596353821926,-0.0882657398960869,0.0767203088709263,0.471,0.529
"jday2","MOBL",-0.0255475373166809,-0.132641853418841,0.0695075085687551,0.3605,0.6395
"jday2","MOCH",0.0591480933342547,-0.0445548127993767,0.151187038360614,0.833,0.167
"jday2","MODO",-0.00872582312006226,-0.134040140971221,0.0948875789543689,0.46,0.54
"jday2","MOUQ",0.00332762332002908,-0.0905522974744772,0.086255725985357,0.5185,0.4815
"jday2","NAWA",-0.0535490976659701,-0.158340588344112,0.0444104355631947,0.22,0.78
"jday2","NOFL",-0.0172504476615819,-0.112309729148661,0.0772993425715441,0.3965,0.6035
"jday2","NUWO",0.00445141788477556,-0.10283090051511,0.12822961263304,0.546,0.454
"jday2","OSFL",0.0350612452963789,-0.0579038906684744,0.131833735691287,0.722,0.278
"jday2","PAWR",-0.00230372317576081,-0.122407508785324,0.111191949312158,0.4995,0.5005
"jday2","PIGR",-0.00512210115517456,-0.13272885212979,0.108382766923976,0.4865,0.5135
"jday2","PISI",-0.00420377894482612,-0.114378937030298,0.0990156007615539,0.4825,0.5175
"jday2","PIWO",-0.0233743956784891,-0.139535764314871,0.0879021978433305,0.39,0.61
"jday2","PSFL",-0.00908464971349601,-0.122758265431263,0.115967546228296,0.457,0.543
"jday2","PUFI",-0.0183198687822973,-0.13338266561719,0.0856546277466425,0.4105,0.5895
"jday2","PYNU",-0.012586670298962,-0.131544649909222,0.107648045063911,0.436,0.564
"jday2","RBNU",0.0339121242145389,-0.0587632159435647,0.123014502972361,0.731,0.269
"jday2","RBSA",0.0314169238960852,-0.0638096662716491,0.145815172399106,0.683,0.317
"jday2","RCSP",-0.00913952042676234,-0.128047212063347,0.105852308887475,0.466,0.534
"jday2","RECR",-0.020527024989611,-0.142832678462404,0.0899436892456852,0.3995,0.6005
"jday2","ROWR",0.000530163120606804,-0.119643393227108,0.105656143018596,0.5075,0.4925
"jday2","SOGR",-0.00839152560968117,-0.134666914544013,0.101216876499717,0.4605,0.5395
"jday2","SOSP",0.00253982822563597,-0.103653310766822,0.10931543008281,0.51,0.49
"jday2","SPTO",0.00998279702966709,-0.0803609249692853,0.100884404203994,0.587,0.413
"jday2","STJA",0.0288196356502715,-0.0435251627013457,0.126637916863624,0.71,0.29
"jday2","TOSO",-0.0523371799003548,-0.161106041928459,0.0504615774942288,0.228,0.772
"jday2","VASW",-0.00198360735944193,-0.127644236363151,0.118292511141562,0.5,0.5
"jday2","WAVI",-0.0112019478841714,-0.117089724180147,0.091607035233771,0.44,0.56
"jday2","WBNU",0.00899557355967961,-0.0897195450554176,0.110275584879769,0.566,0.434
"jday2","WEBL",-0.0206075163047278,-0.121077462699291,0.0801183868929621,0.377,0.623
"jday2","WESJ",-0.0172311161667622,-0.134265102208617,0.104660199907154,0.4305,0.5695
"jday2","WETA",-0.0271282031723641,-0.101877178964901,0.0570142817275386,0.3,0.7
"jday2","WEWP",0.0216501710836375,-0.0632059189871312,0.10194761959502,0.668,0.332
"jday2","WHWO",-0.0111693394587033,-0.101361908133145,0.0859826204277199,0.4285,0.5715
"jday2","WIWA",0.0251395075390474,-0.0784391884613293,0.130424154221116,0.6405,0.3595
"jday2","WREN",-0.0177957865641885,-0.135712019357903,0.0841625816103363,0.409,0.591
"jday2","YEWA",0.00539568838689097,-0.0895819182630468,0.114792725012944,0.545,0.455
"jday2","YRWA",-0.0532049083062595,-0.177879160671798,0.070926354209803,0.257,0.743
"jday2","CALT",-0.0136757823352902,-0.123474336261264,0.113845013334357,0.4485,0.5515
"jday2","CLNU",-0.0148444356266274,-0.134030643022433,0.0945925398732558,0.442,0.558
"jday2","RWBL",-0.0129811843653902,-0.132268474478221,0.106888098178123,0.444,0.556
"jday2","WISA",-0.00764103942082895,-0.130636649968059,0.103101819273998,0.479,0.521
"jday2","BESP",-0.0058923447875054,-0.123998859122328,0.114907301983751,0.4835,0.5165
"jday2","AMGO",-0.00418290046783339,-0.105756178118439,0.111726657925222,0.487,0.513
"jday2","OATI",-0.00989428642412716,-0.142489814675715,0.101966307262083,0.4595,0.5405
"jday2","VESP",0.000406732524641374,-0.118436503484597,0.109531877532,0.5085,0.4915
"jday2","YBCH",-0.00839251503942136,-0.1435571078341,0.103686313109179,0.4565,0.5435
"jday2","MWCS",0.00856735086061197,-0.102881516534339,0.121362197764772,0.5615,0.4385
"snag","ACWO",-0.134191379030617,-0.373400925893187,0.0768171548346306,0.162,0.838
"snag","AMRO",0.0456763158839863,-0.0437166888731471,0.139582221349072,0.7875,0.2125
"snag","ANHU",-0.313769081221755,-0.556224654854593,-0.0770169202877514,0.012,0.988
"snag","ATFL",-0.101377484780175,-0.648845714813483,0.405747084509481,0.379,0.621
"snag","BBWO",0.491279620551947,0.317477970628156,0.652711114818528,1,0
"snag","BCSP",-0.0888123130731936,-0.622765457640562,0.44086086439358,0.394,0.606
"snag","BEWR",0.020613797494815,-0.320103357448205,0.354101024442019,0.5385,0.4615
"snag","BGGN",-0.698963725124592,-1.14799895163376,-0.20393414938541,0.0075,0.9925
"snag","BHCO",-0.317305063629999,-0.60294136521206,-0.00500846096746538,0.046,0.954
"snag","BHGR",-0.157836474746646,-0.254820919237101,-0.0625915563265223,0.003,0.997
"snag","BRBL",-0.0915789707832767,-0.568289737075738,0.383221497587023,0.392,0.608
"snag","BRCR",0.359345907173153,0.259713672616032,0.456193153533602,1,0
"snag","BRSP",-0.604109197657698,-1.06414570695732,-0.112435152668606,0.017,0.983
"snag","BTPI",-0.0569340733710976,-0.461191707401161,0.371556361493614,0.403,0.597
"snag","BTYW",-0.307905668686196,-0.550688690932766,-0.0706045563197499,0.021,0.979
"snag","BUOR",-0.419587854827919,-0.900221990386292,0.0606438751954245,0.073,0.927
"snag","BUSH",-0.286770475692732,-0.717120894525293,0.106976998831243,0.125,0.875
"snag","CAFI",-0.144364785730971,-0.30465993475138,0.0456729025009361,0.0875,0.9125
"snag","CAHU",-0.655894077786755,-0.972520962898021,-0.313353945347256,0.001,0.999
"snag","CANW",-0.184418366903246,-0.70281518536612,0.273086596526161,0.258,0.742
"snag","CAQU",-0.00625998636255488,-0.40998282133953,0.477242297319543,0.4805,0.5195
"snag","CAVI",0.0366169409140299,-0.102628899824428,0.180735877981058,0.672,0.328
"snag","CBCH",-0.116577909280222,-0.614019147586131,0.394928128933755,0.3595,0.6405
"snag","CHSP",-0.243441434902967,-0.353523679194907,-0.148688535522612,5e-04,0.9995
"snag","DEJU",0.145168696003667,0.0709510257187188,0.216979061973878,0.9995,0.000499999999999945
"snag","DOWO",0.0740811253052793,-0.261225399859451,0.4322113264182,0.6385,0.3615
"snag","DUFL",-0.234935372544323,-0.344485674256845,-0.133468024717362,0,1
"snag","EUST",-0.208368630317608,-0.732606290564728,0.242230060698132,0.25,0.75
"snag","EVGR",0.117993922007131,-0.132294677811055,0.358838436035434,0.7795,0.2205
"snag","FOSP",-0.813145750396418,-0.949274825724139,-0.671727795333826,0,1
"snag","GCKI",0.191415315838665,-0.0568803123011658,0.429901264073775,0.893,0.107
"snag","GRFL",-0.373519935425288,-0.880559518896435,0.130394475124619,0.111,0.889
"snag","GTTO",-0.351462925659425,-0.517955517163869,-0.186610646265372,0,1
"snag","HAFL",0.612230649321042,0.416875730972611,0.791418148610715,1,0
"snag","HAWO",0.175316462160942,0.0899276401958076,0.262354529035338,0.9995,0.000499999999999945
"snag","HETH",0.0718143351794222,-0.265288768242345,0.3692637715264,0.6555,0.3445
"snag","HEWA",0.173698137639785,0.0230552458907678,0.333757355221914,0.9685,0.0315
"snag","HOFI",-0.162120582335515,-0.637034418088478,0.338527321075066,0.281,0.719
"snag","HOWR",-0.0659535883375845,-0.211734038794087,0.0720093238909389,0.235,0.765
"snag","HUVI",-0.265139879679036,-0.589758986732679,0.0495875779890271,0.083,0.917
"snag","LAGO",-0.109970975488864,-0.327924749673068,0.0880800190146347,0.198,0.802
"snag","LASP",-0.259207353541233,-0.823634680203692,0.260140945390831,0.203,0.797
"snag","LAZB",-0.186447283983912,-0.290859560808568,-0.0797621174592718,0.004,0.996
"snag","LEGO",-0.284966412500968,-0.523946905091689,-0.0758971315301692,0.0185,0.9815
"snag","LEWO",-0.0883044908285816,-0.554906949341455,0.349203966827583,0.3765,0.6235
"snag","LISP",0.153254614572198,-0.195250558955895,0.49159613873712,0.768,0.232
"snag","MGWA",0.0048213746106526,-0.119497141126656,0.113075988878697,0.522,0.478
"snag","MOBL",-0.087466536623465,-0.256377310493018,0.0951317113024175,0.2105,0.7895
"snag","MOCH",-0.226264815782378,-0.338318340528777,-0.114626766691796,0.0015,0.9985
"snag","MODO",-0.226753486629894,-0.392174773823448,-0.0378241184243132,0.0145,0.9855
"snag","MOUQ",-0.271141865778069,-0.416565386576063,-0.136470086688619,0.001,0.999
"snag","NAWA",-0.371393210123846,-0.492026841006984,-0.247540111326706,0,1
"snag","NOFL",-0.112300845046846,-0.236064743814202,-0.000666300602291239,0.0565,0.9435
"snag","NUWO",-0.164268513372052,-0.705671496396697,0.305935526397235,0.309,0.691
"snag","OSFL",-0.0362317385606774,-0.165670945762925,0.0956710081363817,0.3295,0.6705
"snag","PAWR",0.190093495753559,-0.243034341885772,0.624006891011315,0.772,0.228
"snag","PIGR",-0.0919042226837146,-0.622691207944536,0.437996226220713,0.3745,0.6255
"snag","PISI",-0.0275216440388401,-0.288846722346713,0.184271914008071,0.428,0.572
"snag","PIWO",0.45853833662897,0.176364886748061,0.727160040473262,0.997,0.003
"snag","PSFL",0.247840006680401,-0.0741265490396393,0.530350116795857,0.9105,0.0895
"snag","PUFI",0.133014370209715,-0.0273395023070411,0.292104393878632,0.9135,0.0865
"snag","PYNU",-0.104543802533811,-0.554713418142223,0.349338206194175,0.3505,0.6495
"snag","RBNU",0.125038133131453,0.0430618959500943,0.225480788246779,0.9815,0.0185
"snag","RBSA",-0.123514347880477,-0.325715933001407,0.0831050814270674,0.1655,0.8345
"snag","RCSP",-0.0204650986729014,-0.547196448593439,0.515041900484126,0.473,0.527
"snag","RECR",0.0304074872072354,-0.389013002067919,0.398362266999723,0.5575,0.4425
"snag","ROWR",-0.073557622773382,-0.384356750493002,0.237907640609135,0.3555,0.6445
"snag","SOGR",-0.0588348930310557,-0.509277531413391,0.450758586495651,0.42,0.58
"snag","SOSP",0.25850868972425,-0.0546521531188024,0.550753146269827,0.923,0.077
"snag","SPTO",-0.365666977762236,-0.48286121928563,-0.241798264959495,0,1
"snag","STJA",-0.0418470573304792,-0.138998865008108,0.0460005559957055,0.225,0.775
"snag","TOSO",0.221566924952546,0.107529740364912,0.339916824596588,0.9985,0.00149999999999995
"snag","VASW",-0.0796111429216336,-0.575267478040243,0.446408203189455,0.396,0.604
"snag","WAVI",-0.0981333367799832,-0.280709444256598,0.0925448957077308,0.2055,0.7945
"snag","WBNU",-0.0032327738327012,-0.189107980697831,0.159750665349008,0.484,0.516
"snag","WEBL",-0.230999868995955,-0.424554253883232,-0.0689814198122673,0.0175,0.9825
"snag","WESJ",-0.619783005377219,-1.07828426686214,-0.178045167514715,0.0105,0.9895
"snag","WETA",0.0768685491244063,-0.00745036853112088,0.151535495835708,0.9395,0.0605
"snag","WEWP",0.0123552717531163,-0.0670197058024868,0.104747492994765,0.5875,0.4125
"snag","WHWO",0.199988212654952,0.106023941832749,0.298336805303514,1,0
"snag","WIWA",-0.0258077667303589,-0.31513515487205,0.265785671968775,0.43,0.57
"snag","WREN",-0.279279334408835,-0.666300835937577,0.129282908880081,0.1255,0.8745
"snag","YEWA",-0.672677825774949,-0.874144643331918,-0.467650824061031,0,1
"snag","YRWA",-0.100745611962116,-0.40915634966283,0.246419935009437,0.3145,0.6855
"snag","CALT",-0.295782345167976,-0.783404926947302,0.217451533295634,0.1785,0.8215
"snag","CLNU",0.00508232926458672,-0.458571161676323,0.579282368386268,0.51,0.49
"snag","RWBL",0.428459915801824,-0.00759104990245346,0.846083357820406,0.955,0.045
"snag","WISA",0.151472620455978,-0.354216826238369,0.619519160341683,0.686,0.314
"snag","BESP",-0.0892685820005439,-0.679706074088298,0.421248518881736,0.39,0.61
"snag","AMGO",-0.0662159674158641,-0.64310743068908,0.434832332890097,0.418,0.582
"snag","OATI",-0.133095162071627,-0.66085263196352,0.376727366842802,0.3455,0.6545
"snag","VESP",-0.123355899430094,-0.651816155397123,0.388155132784147,0.353,0.647
"snag","YBCH",-0.100019327825059,-0.612210805496294,0.491327672713058,0.3835,0.6165
"snag","MWCS",-0.146553264163915,-0.673848406249379,0.380963171889679,0.3285,0.6715
"shrub","ACWO",-0.268777559449379,-0.488838847523873,-0.0464187942005866,0.0235,0.9765
"shrub","AMRO",-0.017985081032951,-0.101522532579318,0.0734055724098495,0.372,0.628
"shrub","ANHU",0.284049588827908,0.0674127733399746,0.477014043975194,0.991,0.00900000000000001
"shrub","ATFL",0.0217703850244544,-0.391287364467468,0.465719706964555,0.537,0.463
"shrub","BBWO",-0.177936613156374,-0.354864155060891,0.00074784553375272,0.053,0.947
"shrub","BCSP",0.0058855217659506,-0.458690850147865,0.457694626626183,0.513,0.487
"shrub","BEWR",0.175587892438964,-0.0456005532330496,0.418957344559607,0.888,0.112
"shrub","BGGN",0.00710544557225358,-0.370439924098396,0.352151854474073,0.52,0.48
"shrub","BHCO",0.308857600422384,0.0158120270209571,0.593806016909457,0.9595,0.0405
"shrub","BHGR",0.148669128997831,0.0552800804849681,0.237175286022989,0.9965,0.00349999999999995
"shrub","BRBL",-0.0251915205364784,-0.442090832212312,0.398627496895505,0.4575,0.5425
"shrub","BRCR",0.270436415754021,0.184147986747663,0.36345562844479,1,0
"shrub","BRSP",-0.129010466222832,-0.491388729860697,0.211414548443726,0.268,0.732
"shrub","BTPI",0.0410636072594361,-0.326158217665142,0.37707597190712,0.574,0.426
"shrub","BTYW",-0.361855957674644,-0.634683702319448,-0.102403537041382,0.0135,0.9865
"shrub","BUOR",0.103679854736223,-0.242826329634316,0.495280934243331,0.6695,0.3305
"shrub","BUSH",0.171337292215218,-0.135113593867494,0.469789671663462,0.8355,0.1645
"shrub","CAFI",-0.276724371696732,-0.455837667843467,-0.0877246214694584,0.006,0.994
"shrub","CAHU",-0.0805861201407884,-0.407828562257955,0.181331216796121,0.3155,0.6845
"shrub","CANW",-0.084711765241414,-0.483173697210631,0.36194381710783,0.363,0.637
"shrub","CAQU",-0.169680435229491,-0.490854516385845,0.193853914544866,0.211,0.789
"shrub","CAVI",-0.0299680624392256,-0.166692510681537,0.119034811701367,0.375,0.625
"shrub","CBCH",-0.0205914045589313,-0.413189037555375,0.378991283106543,0.4645,0.5355
"shrub","CHSP",-0.140189641729948,-0.248106651661447,-0.0390705501458389,0.0165,0.9835
"shrub","DEJU",-0.00701497267794992,-0.0769777878291452,0.0664057013687414,0.4375,0.5625
"shrub","DOWO",0.0120987565341297,-0.290975897529909,0.329203153039885,0.516,0.484
"shrub","DUFL",0.19970900684421,0.0977657705172706,0.298603485302295,1,0
"shrub","EUST",0.0799061137357362,-0.319675720441521,0.467422628705664,0.628,0.372
"shrub","EVGR",0.114056702120508,-0.142050236110475,0.348275282930901,0.7725,0.2275
